,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,4_action,4_amount,4_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
0,provide_liquidity,910.889972,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,25.205004,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,147.17156,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-15 18:35:15.012000,1,terra1shedeu68tlcpc0hju9hvf54tkhv4uw0p4c9j8r,2022-03-15 18:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,BCF43CAF56145EC938C4110780A0ACB2AB5234B6CDD10BC74126329E6CF5DA21
1,provide_liquidity,78.97,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,1.994047,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,12.187436,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-15 23:05:08.749000,1,terra1umyzadzcm6s97hnhkzt9fruk87sq29nz5puduw,2022-03-15 23:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,177D28CD4EE118A875F1611DAE0F38DB051886217A8B6C0EF1E9D6B59DBE24A4
2,send,1.8036240000000001,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,11.111256,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,0.310341,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,1.8036240000000001,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-15 21:15:48.557000,1,terra1uq2ke2qlahv78hggpfjcfysv85eq4a6qxh7lf9,2022-03-15 21:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,A1A4687C8A71207DBF62A735EB6E6A4BDB43A2C75A2AB9BF7727E218EC594D26
3,provide_liquidity,62.174374,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.48,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,5.2743459999999995,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-15 14:51:09.776000,1,terra1l09qd7s6qcdsl028ryg9kgcvp3xc0t5ur3gy4m,2022-03-15 14:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,B5F686694583C5231B6EF36E98C04065E78B5FAE830E44DDB90C86D96290BC03
4,send,14.047039,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,164.416641,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,1.279484,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,14.047039,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,burn,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-15 09:03:50.510000,1,terra1u7e78dxhyhu580cs5hd0wlgh9cfqpp2s2p0t0p,2022-03-15 09:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,9D80994F08AF3139647E24438FE59285B68DDC5BBAA6E6F92E390C7C9A612C6B
5,provide_liquidity,498.49,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,14.545991,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,82.745881,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-14 12:44:12.379000,1,terra1f3s3c53njlwrmaw6yn63e6va9zlzyazetl0rhy,2022-03-14 12:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,07E4BB1510B39B7C7B103DDC7A3A387DAAEE056CC9D948ABD687C64F7D106AD7
6,send,113.516174,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,678.749349,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,20.095571,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,113.516174,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-13 16:34:28.612000,1,terra16m25xup59kvy54yqmmwfmr0gkkgcftatn4fgpf,2022-03-13 16:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,A309E00F9AD844CA1284F7DCF389A5C17DCD8FDDA0CEE1CCF7068AB7A4FBF3AA
7,send,87.233809,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,withdraw_liquidity,521.658977,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer,15.441062,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,87.233809,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,burn,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,2022-03-13 16:15:42.880000,1,terra1r67wsz5y7d62fhlm5cam8pd6klmg6dzh0pkl4w,2022-03-13 16:00:00.000,0,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,D309A4DFFCFD642EB8603B61D245DF99BBE00A5F4DAE753EC70D5917441DF6BD
8,provide_liquidity,42.567686,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,transfer_from,1.259999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,7.118325,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,mint,,terra1rjm3ca2xh2cfm6l6nsnvs6dqzed0lgzdydy7wf,,,,2022-03-13 16:21:29.218000,1,terra16m25xup59kvy54yqmmwfmr0gkkgcftatn4fgpf,2022-03-13 16:00:00.000,2,terra1persuahr6f8fm6nyup0xjc7aveaur89nwgs5vs,D22E34934ABDF5109D2115A4D24A694E3C6D2FE89FE8C8B0BA633E5FCEB749BB
9,provide_liquidity,377.44,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,2.798791,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,31.514868,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,,,,2022-03-13 16:21:35.841000,1,terra17z2kq5jmfm9fkkng2d99g4c9vlse7aassen3pm,2022-03-13 16:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,8A1BAE9CDBDA8161796534FC86B9A7E461868AF0C9AA8D1C70799486DADF7D24
