,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
0,,2022-02-20 09:37:44.271,3,,0,,,,,terra12glyg2am7ttfwrypv4phz340x84f728cm7pa53,,A577CF526E5D52DB324A4914E50345369D8400CBDCA359CB95DDAA972442BB43
1,PRISM,2022-02-20 06:44:37.241,1,,0,309.3,xPRISM,1.026657015,301.269066,terra1nqdzxdn9nswy2ak3r82eudc4uh3fzx87jg2uhs,,C152C609E3870BFF89E419067AFFC4DD47B3D2C4A90BBEAD1E6D21A10385529F
2,,2022-02-20 07:11:10.307,3,,0,,,,,terra1gpqalumaqz97h0nqyqtxf85cwte37l6hps03mt,,6DCC8DE2948B5942DBCB5F7CE40B3D88927E14BC2E962FA8ECBAB1AB84FF5ACE
3,PRISM,2022-02-20 06:42:27.207,1,,0,18105.738733,xPRISM,1.024156291,17678.687227,terra1ptcd8vrek370fx6quef05am0n0839a2w7w279q,,6BC45A2B96C347202299339FC02A2B48ECB277C4974282D0455515DD0D26C3C3
4,xPRISM,2022-02-20 05:59:11.333,1,,0,1950.426836,PRISM,0.9865588452,1976.999999,terra1fepcd7cj4g77gv28vvm6nfhqc97nqgsd5qpyqn,,B088BBD3C7722C19525EC9DC6370C95B8FABAC6BF59528DA74A69B59B1F56F8D
5,,2022-02-20 05:57:58.520,3,,0,,,,,terra1fepcd7cj4g77gv28vvm6nfhqc97nqgsd5qpyqn,,C67DE7E3617A81FDAD637447F5EAE54056D1A9C6D76AD566CF3AEB71DABC9146
6,UST,2022-02-20 06:13:00.386,3,terra1e2vasvyn96nfmxr4mz8wy88nxxq49lw4ww66jh,0,1368.785063,PRISM,3.087423307,443.342207,terra1e2vasvyn96nfmxr4mz8wy88nxxq49lw4ww66jh,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,297293F94FFEB762727412C22064BEFBBC39210ECDBE5F9B33AD01C1754B2B0F
7,UST,2022-02-20 06:13:00.386,3,terra1e2vasvyn96nfmxr4mz8wy88nxxq49lw4ww66jh,0,1368.785063,PRISM,3.087423307,443.342207,,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,297293F94FFEB762727412C22064BEFBBC39210ECDBE5F9B33AD01C1754B2B0F
8,UST,2022-02-20 05:48:36.968,3,terra1jnl320gtknwhy8h8hur867vyx4rdrlafn0g9xr,0,1353.629291,PRISM,3.029051572,446.88222,terra1jnl320gtknwhy8h8hur867vyx4rdrlafn0g9xr,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,F4AD3952B1BDF7A1A30845957B46747B9EB4ECAA10D0ECA308BE12348B89309C
9,PRISM,2022-02-20 04:03:39.833,1,,3,2.017871,yLUNA,0.009467166875999999,213.144125,terra19q60sh5xcurn4dnw9g0hfye67h2tzg9gwjpfgg,,4B01E2FEF2722549CD9CC78E8AB26E71A3CDC1366DED2A321A2B5B4BE37DFCFA
