,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id
0,provide_liquidity,27.409975,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.188692,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,2.212851,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-08 23:31:57.903,1,terra1t90n5s22rt6fvnuyx3dzsde8jaaupaglrcgc6f,2022-03-08 23:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,7D7E1FF61B6446676C6205DEDDE3568C501600ADF94E5B855BF3F068B712CE20
1,send,24.146574,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,296.371226,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,2.079459,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,24.146574,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-03-09 09:48:35.714,1,terra148w94ze9edwwlq4gv5c0rta422wqqdvcafxq76,2022-03-09 09:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,DC8F58BD17F98E17E1E5C536BC93D3D018EEA00601328A541FF4B6EB2C6AC0AE
2,provide_liquidity,11524.31,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,76.728621,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,914.808656,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-09 03:50:15.820,1,terra1pjl8yqn397u4j56cl5p2z0z58z3fw88xvvcsz9,2022-03-09 03:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,51618D365D3463009406DB4B58250AFABF5756429044A01072F9389ADC619F30
3,provide_liquidity,18.023355,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.12,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,1.430266,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-09 03:56:57.308,1,terra12e22jax992eecp4e6yj4p9mavqs7zzyqrqvtte,2022-03-09 03:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,5C98183DEBE0B1D8D8A7CD842663BC14349D8D2F27500D053F42F89AC7A981A0
4,provide_liquidity,16.985199,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,0.119999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,1.390076,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-08 04:04:30.881,1,terra1dc82n3yd5r3m5namguxzwt3zwvyhrqptf0lq8a,2022-03-08 04:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,D3996D0610AAC4F457971585BAF85FACA89E5610E116FD519A7A2120510CC881
5,provide_liquidity,155.16,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,1.039432,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,12.363778,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-03-08 07:37:41.568,1,terra1pwhw45gemrm74hndu52s9yuvq56sn6jkyaatka,2022-03-08 07:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,761344BCB6A6C38856FE962DE7FB78D6C8B6345D962B257B6A98FC7A1FB51D9C
6,send,81.417574,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,1006.564062,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,6.9462209999999995,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,81.417574,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-03-08 04:09:10.020,1,terra1puvdm9jdkm43h2tpl2rc7gurwvzzncu2lmvjvx,2022-03-08 04:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,03B9D7A44E2674AF884A531BA1323DDBCB4DC8CB57699781F2D58C35A0C024F7
7,provide_liquidity,275.829947,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,2.368186,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,25.037036,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-21 19:36:36.787,1,terra1ygj4gtw434rdvx4zzq32rsjgcvpqn9ls57sg0n,2022-02-21 19:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,8AA4BBC93937D61A00DBD9D905A31A23CE06BCD14C1809D26F565B21FBEAFB4B
8,provide_liquidity,358.6465,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer_from,3.239999,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer_from,33.402334,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,mint,,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,2022-02-21 11:29:43.168,1,terra1jqc88enkja3ys29z27juae9gp8tce78a9l86t6,2022-02-21 11:00:00.000,2,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,5F5671BC95FB8A5C592A493BB666ACF6A472796BACDBAD1BD5CEE6ED626DEFD7
9,send,301.356729,terra1argcazqn3ukpyp0vmldxnf9qymnm6vfjaar94g,withdraw_liquidity,3205.47561,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,transfer,29.46377,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,transfer,301.356729,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-02-18 13:07:14.708,1,terra19d66rjg7xmwt9sdy8wukh9p84qj66sgd5psc4z,2022-02-18 13:00:00.000,0,terra1kqc65n5060rtvcgcktsxycdt2a4r67q2zlvhce,159B9F27BF65FD1613551506C96C88B2D0FA7F901F009AFCCFE0874AF93D6590
