,0_action,0_amount,0_contract_address,1_action,1_amount,1_contract_address,2_action,2_amount,2_contract_address,3_action,3_amount,3_contract_address,BLOCK_TIMESTAMP,EVENT_INDEX,FROM_,HR,MSG_INDEX,SENDER,TO_,TX_ID
0,send,1.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,1.0,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,1.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-10 16:40:38.756,1,terra1csyzy5u7qe8z6jhqncrg3fdcjcna8aa8yktws7,2022-03-10 16:00:00.000,0,terra1csyzy5u7qe8z6jhqncrg3fdcjcna8aa8yktws7,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,A06E2B44C70A422DC5D47549429E0EA40922A2052A22880F14661E8BFD376744
1,send,2.96725,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,2.96725,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,2.96725,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-09 22:20:44.633,1,terra18zw74vcsewgytps9ernc3pcqfhfl9dqw98ymfk,2022-03-09 22:00:00.000,0,terra18zw74vcsewgytps9ernc3pcqfhfl9dqw98ymfk,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,79A2B9E87363DBEF9CE9DFE8404EFCD55ACC9FE5147DA8905D82B939CD4AC6AF
2,send,13.15,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,13.15,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,13.15,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-10 11:04:47.217,1,terra1vy9d9wmxultgshctfwu7xvhj6fkw4rkwpnz38w,2022-03-10 11:00:00.000,0,terra1vy9d9wmxultgshctfwu7xvhj6fkw4rkwpnz38w,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,0A1650804E5AF2DC6B50D9EBEDD0F69C9ECC7E26511725E9CC2C3B87D5AD71C7
3,send,40.941444,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,40.941444,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,40.941444,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-10 20:13:05.932,1,terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn,2022-03-10 20:00:00.000,0,terra1as8j8qhexvsc3sy0gxrfajuuggwar45chfhqwn,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,6A4222BFBFE5821F71CE235267ED22611BCB98CF9081D28D4EDCD6A7C449CD79
4,send,1.475534,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,1.475534,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,1.475534,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-08 16:33:13.200,1,terra1ts8lzwdusr7uukaw7rayrm543dzuw5zxuxmqw5,2022-03-08 16:00:00.000,0,terra1ts8lzwdusr7uukaw7rayrm543dzuw5zxuxmqw5,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,FAB500065A893F5114C6A454E4CDBB235C6BE33903F9695882ABEE482BF159C9
5,send,5.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,5.0,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,5.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-12 00:15:07.015,1,terra1jkgnmgnasjtjgufp42cr0gx2z6542udk9p4fdd,2022-03-12 00:00:00.000,0,terra1jkgnmgnasjtjgufp42cr0gx2z6542udk9p4fdd,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,0A8955F00822727D039964F0202CE5607A2CEDF07754D9F6DEF76F223B1B2868
6,send,2.174346,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,2.174346,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,2.174346,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-12 01:35:30.105,1,terra1uk6ha3fqz0867suv925hvr3wlhsyw300ytqcq5,2022-03-12 01:00:00.000,0,terra1uk6ha3fqz0867suv925hvr3wlhsyw300ytqcq5,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,DD79B5130F99CC2D2805B240958915BC034A6090D47035482E41AABCA298D72E
7,send,1.097477,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,1.097477,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,1.097477,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-07 16:38:30.042,1,terra1q9u6a2gh2y62sufq8m2c7x7tsln8svpyfd4l8j,2022-03-07 16:00:00.000,0,terra1q9u6a2gh2y62sufq8m2c7x7tsln8svpyfd4l8j,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,0199F6B547ED7B977A9DDC2CD53972630D16E76B46452F7D27DA9D36EDB4D5EE
8,send,13.289373,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,yluna_farming_bond,13.289373,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,send,13.289373,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,bond,,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-08 04:33:52.488,1,terra19k85gsahz45qr86gn5t0ym7zac8nlm6v8k5ps8,2022-03-08 04:00:00.000,0,terra19k85gsahz45qr86gn5t0ym7zac8nlm6v8k5ps8,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,73CE925E45CA355847865915FF4BDA11FBA44989499C781BF1A8E33EF75C589E
9,yluna_farming_unbond,837.112638,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,unbond,837.112638,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,transfer,837.112638,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,transfer,,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,2022-03-07 12:48:58.283,1,terra1p7jp8vlt57cf8qwazjg58qngwvarmszsamzaru,2022-03-07 12:00:00.000,0,terra1jsrvxa8talaa0j6as9laz2xmt30z8lgjhrqev3,terra1ns5nsvtdxu53dwdthy3yxs6x3w2hf3fclhzllc,09A9B7CAF5A15B1B4600A295C7C4348F6E517D6C41C82D6EA3AEC408226D0087
